row,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
64.000,"Rhythm Is A Dancer - 7"" Edit",0.251,0.794,225867,0.756,5iEDwEp82uLN3X6llJdqen,0.000611,9.000,0.122,-11.331,0.000,0.0343,124.25,,https://api.spotify.com/v1/tracks/5iEDwEp82uLN3X6llJdqen,0.759
65.000,What Is Love,0.0222,0.683,270373,0.772,2ahnofp2LbBWDXcJbMaSTu,0.0149,7.000,0.203,-7.907,0.000,0.0311,123.871,,https://api.spotify.com/v1/tracks/2ahnofp2LbBWDXcJbMaSTu,0.737
66.000,Thank You,0.3,0.725,218360,0.583,3yUcJwYu7fXAfqMj9krY6l,0.000215,1.000,0.0665,-9.942,0.000,0.0424,79.984,,https://api.spotify.com/v1/tracks/3yUcJwYu7fXAfqMj9krY6l,0.765
67.000,Say You'll Be There,0.0149,0.726,235973,0.679,1yTQ39my3MoNROlFw3RDNy,1.49E-06,1.000,0.0837,-6.219,1.000,0.0473,107.02,,https://api.spotify.com/v1/tracks/1yTQ39my3MoNROlFw3RDNy,0.751
68.000,Just A Girl,0.0799,0.641,208400,0.914,36bOT34EdRNrNhCWMwNJKu,6.54E-05,2.000,0.132,-4.798,1.000,0.05,107.996,,https://api.spotify.com/v1/tracks/36bOT34EdRNrNhCWMwNJKu,0.723
69.000,Runaway Train,0.0132,0.613,265867,0.72,3TW48DvQ7ChwY1Yy1tkMaP,0,0.000,0.104,-7.957,1.000,0.0425,117.341,,https://api.spotify.com/v1/tracks/3TW48DvQ7ChwY1Yy1tkMaP,0.561
70.000,This Is How We Do It,0.0159,0.799,238800,0.63,6uQKuonTU8VKBz5SHZuQXD,0,0.000,0.453,-9.279,1.000,0.0748,103.647,,https://api.spotify.com/v1/tracks/6uQKuonTU8VKBz5SHZuQXD,0.772
71.000,Ice Ice Baby,0.027,0.98,271467,0.535,11d9oUiwHuYt216EFA2tiz,1.68E-06,2.000,0.104,-16.035,1.000,0.058,115.744,,https://api.spotify.com/v1/tracks/11d9oUiwHuYt216EFA2tiz,0.675
72.000,Under The Bridge,0.0576,0.559,264307,0.345,3d9DChrdc6BOeFsbrZ3Is0,0.000105,4.000,0.141,-13.496,1.000,0.0459,84.581,,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,0.458
73.000,Here Comes the Hotstepper,0.0328,0.852,244813,0.537,4vfzROmNsxedKICcHod5Rh,0.000248,7.000,0.229,-7.424,1.000,0.114,100.369,,https://api.spotify.com/v1/tracks/4vfzROmNsxedKICcHod5Rh,0.483
74.000,Butterfly,0.00132,0.736,216733,0.811,4BggEwLhGfrbrl7JBhC8EC,0.000142,9.000,0.107,-4.17,0.000,0.081,103.502,,https://api.spotify.com/v1/tracks/4BggEwLhGfrbrl7JBhC8EC,0.609
75.000,Groove Is In The Heart,0.0153,0.694,231787,0.881,2UVLuddklEVak5PXgC7baA,0.0196,1.000,0.0851,-4.053,0.000,0.0701,121.554,,https://api.spotify.com/v1/tracks/2UVLuddklEVak5PXgC7baA,0.924
76.000,I'm Too Sexy,4.91E-05,0.683,170467,0.739,2WElktskrNJEwgpp5Vouxk,0.0122,11.000,0.293,-12.831,0.000,0.0495,122.113,,https://api.spotify.com/v1/tracks/2WElktskrNJEwgpp5Vouxk,0.836
77.000,Together Again,0.0788,0.873,301200,0.591,1GrikfH0jDejDvrxo84n4P,0.0071,7.000,0.104,-8.942,1.000,0.102,123.091,,https://api.spotify.com/v1/tracks/1GrikfH0jDejDvrxo84n4P,0.496
78.000,Closing Time,0.0204,0.481,273160,0.865,4EnkwZd0UJAuHpNMMemQaA,1.24E-06,7.000,0.17,-5.498,1.000,0.0283,92.086,,https://api.spotify.com/v1/tracks/4EnkwZd0UJAuHpNMMemQaA,0.241
79.000,Better Off Alone,0.00437,0.667,217573,0.818,0pMUR7Uvp6vxlbG0qBFvgM,0.761,8.000,0.288,-9.149,0.000,0.0594,136.957,,https://api.spotify.com/v1/tracks/0pMUR7Uvp6vxlbG0qBFvgM,0.761
80.000,Lovefool - Radio Edit,0.0443,0.644,193893,0.599,1eRqy8jW4ZLMJR6dl3xsgI,0,9.000,0.286,-7.936,1.000,0.029,111.829,,https://api.spotify.com/v1/tracks/1eRqy8jW4ZLMJR6dl3xsgI,0.941
81.000,Song 2 - 2012 Remastered Version,0.00178,0.674,121160,0.789,1FTSo4v6BOZH9QxKc3MbVM,0.0071,8.000,0.0754,-6.903,1.000,0.0676,129.804,,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,0.918
82.000,Believe,0.0082,0.652,239027,0.917,2goLsvvODILDzeeiT4dAoR,0,6.000,0.0509,-6.72,1.000,0.0548,132.975,,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR,0.459
83.000,Close To You,0.0105,0.762,330080,0.646,680kMGV6szhTiZbHRr3vLi,2.14E-06,10.000,0.0406,-8.69,0.000,0.092,95.992,,https://api.spotify.com/v1/tracks/680kMGV6szhTiZbHRr3vLi,0.819
84.000,Linger,0.0783,0.439,274707,0.434,0gEyKnHvgkrkBM6fbeHdwK,4.87E-05,7.000,0.14,-14.918,1.000,0.0265,94.845,,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,0.204
85.000,Ironic,0.25,0.295,225933,0.593,4oGTdOClZUxcM2H3UmXlwL,0,11.000,0.236,-7.572,1.000,0.0555,85.482,,https://api.spotify.com/v1/tracks/4oGTdOClZUxcM2H3UmXlwL,0.37
86.000,Come As You Are,0.00016,0.5,218920,0.824,0MKGH8UMfCnq5w7nG06oM5,0.00161,4.000,0.0916,-5.846,0.000,0.0388,120.125,,https://api.spotify.com/v1/tracks/0MKGH8UMfCnq5w7nG06oM5,0.539
87.000,I Don't Want to Miss a Thing,0.165,0.383,298760,0.662,225xvV8r1yKMHErSWivnow,0,2.000,0.248,-5.162,1.000,0.0333,121.154,,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,0.138
88.000,Tom's Diner,0.0191,0.867,227453,0.531,0Ww1dujmNHu8mcxLnhCAB3,0.0401,6.000,0.0429,-8.753,0.000,0.044,99.136,,https://api.spotify.com/v1/tracks/0Ww1dujmNHu8mcxLnhCAB3,0.722
89.000,Man! I Feel Like A Woman!,0.642,0.675,233000,0.888,0Xd1XT0mlPMTK5uslC6pzl,0,10.000,0.36,-3.018,1.000,0.0439,124.961,,https://api.spotify.com/v1/tracks/0Xd1XT0mlPMTK5uslC6pzl,0.74
90.000,Breakfast At Tiffany's,0.113,0.624,257187,0.826,3GpdNg7Krt9vjc6tgDoKe1,0,2.000,0.0938,-5.534,1.000,0.0287,110.372,,https://api.spotify.com/v1/tracks/3GpdNg7Krt9vjc6tgDoKe1,0.526
91.000,Buddy Holly,0.00271,0.556,159227,0.92,0gOyllwzM7IvfuYZ903zNv,0.00021,8.000,0.117,-4.606,1.000,0.0367,121.138,,https://api.spotify.com/v1/tracks/0gOyllwzM7IvfuYZ903zNv,0.771
92.000,"Bills, Bills, Bills",0.139,0.845,256027,0.576,1Oi2zpmL81Q0yScF1zxaC0,0,11.000,0.0764,-5.15,0.000,0.153,127.641,,https://api.spotify.com/v1/tracks/1Oi2zpmL81Q0yScF1zxaC0,0.461
