track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,,,song_id,,,,,,
Swang,0.2,0.681,208120,0.314,6mapJIPnQ23RTAevUoE0DL,9.82E-06,8,0.1,-9.319,,1,0.0581,139.992,4,https://api.spotify.com/v1/tracks/6mapJIPnQ23RTAevUoE0DL,,0.166,,,8/12/16,,6mapJIPnQ23RTAevUoE0DL,,,,,,
Rockabye (feat. Sean Paul & Anne-Marie),0.406,0.72,251088,0.763,5knuzwU65gJK7IF5yJsuaW,0,9,0.18,-4.068,,0,0.0523,101.965,4,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,,0.742,,,10/21/16,,5knuzwU65gJK7IF5yJsuaW,,,,,,
Deja Vu,0.0931,0.62,234213,0.69,0H8XeaJunhvpBdBFIYi6Sh,0,7,0.131,-6.508,,1,0.0493,133.935,4,https://api.spotify.com/v1/tracks/0H8XeaJunhvpBdBFIYi6Sh,,0.331,,,12/9/16,,0H8XeaJunhvpBdBFIYi6Sh,,,,,,
Both (feat. Drake),0.119,0.85,190311,0.405,5tFep7dXGd7vEJ668wTPux,0.000118,7,0.0707,-7.509,,0,0.225,139.976,4,https://api.spotify.com/v1/tracks/5tFep7dXGd7vEJ668wTPux,,0.344,,,12/16/16,,5tFep7dXGd7vEJ668wTPux,,,,,,
Bounce Back,0.105,0.77,222360,0.567,0SGkqnVQo9KPytSri1H6cF,0,2,0.125,-5.698,,1,0.175,81.477,4,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,,0.26,,,2/3/17,,0SGkqnVQo9KPytSri1H6cF,,,,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0578,0.737,245653,0.452,2y5aJvzXhHPA94U5GFAcXe,1.48E-05,0,0.187,-8.366,,1,0.0534,117.962,4,https://api.spotify.com/v1/tracks/2y5aJvzXhHPA94U5GFAcXe,,0.096,,,2/10/17,,2y5aJvzXhHPA94U5GFAcXe,,,,,,
I Feel It Coming,0.426,0.773,269186,0.819,3dhjNA0jGA8vHBQ1VdD6vV,0,0,0.0679,-5.946,,0,0.118,92.99,4,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,,0.585,,,11/25/16,,3dhjNA0jGA8vHBQ1VdD6vV,,,,,,
Love On The Brain,0.0717,0.509,224000,0.637,2aksifNn5ph8igDOkPBA02,1.08E-05,4,0.0789,-4.83,,0,0.0471,172.006,3,https://api.spotify.com/v1/tracks/2aksifNn5ph8igDOkPBA02,,0.378,,,1/28/16,,2aksifNn5ph8igDOkPBA02,,,,,,
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0106,0.669,237546,0.832,1WkMMavIMc4JZ8cfMmxHkI,0,0,0.0968,-5.72,,1,0.0682,113.035,4,https://api.spotify.com/v1/tracks/1WkMMavIMc4JZ8cfMmxHkI,,0.7,,,9/23/16,,1WkMMavIMc4JZ8cfMmxHkI,,,,,,
Mercy,0.84,0.638,217120,0.367,2VIPU72L6tIR4w8J8ap6Kp,0,4,0.0999,-7.906,,1,0.0266,71.957,4,https://api.spotify.com/v1/tracks/2VIPU72L6tIR4w8J8ap6Kp,,0.219,,,2/10/17,,2VIPU72L6tIR4w8J8ap6Kp,,,,,,
