,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
1%,33NeF2YDygWGk30EOEYxj0,0.0516,0.764,223466,0.852,7.54e-06,2,0.37,-5.546,1,0.164,112.042,0.528,https://api.spotify.com/v1/tracks/33NeF2YDygWGk30EOEYxj0
Emoji,55a4T3yJwr1ZVcKEprSwXC,0.0181,0.713,151829,0.71,8.78e-06,5,0.151,-3.792,1,0.0435,121.935,0.304,https://api.spotify.com/v1/tracks/55a4T3yJwr1ZVcKEprSwXC
Walk Alone (feat. Tom Walker),0ySwEFQoOhVaGBky9iCdFJ,0.156,0.576,205409,0.719,0.0,11,0.305,-5.163,1,0.0397,94.921,0.545,https://api.spotify.com/v1/tracks/0ySwEFQoOhVaGBky9iCdFJ
Funny Business,7zbvHoQNNpDeToiCU6sbrW,0.0413,0.67,186640,0.589,8.6e-06,2,0.31,-5.483,1,0.0494,103.955,0.536,https://api.spotify.com/v1/tracks/7zbvHoQNNpDeToiCU6sbrW
Callgirl,7ALLv4wodJgAT8cnuBSzhL,0.0206,0.755,164155,0.652,1.41e-05,7,0.101,-6.406,1,0.0788,158.119,0.486,https://api.spotify.com/v1/tracks/7ALLv4wodJgAT8cnuBSzhL
Only Want You,2CTN6UuO2dNEVZXR0DJVk2,0.0599,0.654,180760,0.528,7.14e-05,6,0.0975,-6.224,0,0.0412,82.014,0.376,https://api.spotify.com/v1/tracks/2CTN6UuO2dNEVZXR0DJVk2
Beach House,0N8MGHEDAq29ip7RrlrTeN,0.19,0.537,206120,0.837,0.0,0,0.348,-4.477,1,0.039,90.083,0.533,https://api.spotify.com/v1/tracks/0N8MGHEDAq29ip7RrlrTeN
Everything to Nothing,3sOVdF9lsezNs9Vh8dbNQE,0.0433,0.777,168908,0.566,0.0,9,0.112,-5.704,0,0.0515,108.016,0.508,https://api.spotify.com/v1/tracks/3sOVdF9lsezNs9Vh8dbNQE
Party For One,39YLC6osLe9btq1vpsDglx,0.0371,0.685,183894,0.638,0.0,6,0.0987,-6.539,1,0.0367,123.442,0.414,https://api.spotify.com/v1/tracks/39YLC6osLe9btq1vpsDglx
Bad,5b3auymspp8YgCB9672fbR,0.366,0.827,177973,0.613,1.25e-05,8,0.093,-5.34,1,0.0621,137.96,0.747,https://api.spotify.com/v1/tracks/5b3auymspp8YgCB9672fbR
Summer Love,1IQ7ESS8864x0M44VNIlPe,0.175,0.56,258140,0.723,0.00315,1,0.149,-6.263,1,0.0459,159.915,0.282,https://api.spotify.com/v1/tracks/1IQ7ESS8864x0M44VNIlPe
Fading,2RP8Svo0pMwZXnVcmOffDw,0.0232,0.734,207013,0.76,0.0,11,0.127,-5.267,0,0.0415,122.072,0.685,https://api.spotify.com/v1/tracks/2RP8Svo0pMwZXnVcmOffDw
Hey DJ - Remix,3cR5ZtQ4JqGj4VHBb1gvFf,0.0918,0.564,189363,0.89,0.0,5,0.0819,-4.286,1,0.107,180.112,0.636,https://api.spotify.com/v1/tracks/3cR5ZtQ4JqGj4VHBb1gvFf
Dreamer,0wUxh6XMc698xPCfgBaPRV,0.0507,0.532,193399,0.639,0.00131,5,0.106,-7.419,0,0.0388,105.0,0.198,https://api.spotify.com/v1/tracks/0wUxh6XMc698xPCfgBaPRV
Make Up (feat. Ava Max),2s4fNa1Rqam7rGCSn9Gj1j,0.0601,0.782,160838,0.651,0.0,6,0.0907,-4.889,0,0.117,122.028,0.65,https://api.spotify.com/v1/tracks/2s4fNa1Rqam7rGCSn9Gj1j
Be The Same (feat. Renae),6K9FDuL2TgDdULjlQWynRx,0.0848,0.619,147770,0.574,1.28e-06,0,0.208,-9.125,1,0.0821,92.022,0.273,https://api.spotify.com/v1/tracks/6K9FDuL2TgDdULjlQWynRx
Do It Without You,0JuwGsUiLTGKJ7kum45xZK,0.0456,0.633,185892,0.854,0.0,2,0.316,-5.408,1,0.0828,112.056,0.698,https://api.spotify.com/v1/tracks/0JuwGsUiLTGKJ7kum45xZK
Baby (feat. Marina and The Diamonds & Luis Fonsi),1fLhGF1JfGQYj6EZLndD86,0.356,0.755,205440,0.74,1.05e-05,0,0.0994,-5.354,0,0.04,116.946,0.33,https://api.spotify.com/v1/tracks/1fLhGF1JfGQYj6EZLndD86
Love Me Again,6JNSPr0xttWtbHNifT9HGI,0.0344,0.907,170560,0.583,0.0,0,0.0931,-5.763,1,0.0723,126.009,0.875,https://api.spotify.com/v1/tracks/6JNSPr0xttWtbHNifT9HGI
Perfect To Me,0DC7Zs2qvAbNK1owWQ4mlL,0.0889,0.604,197853,0.546,0.0,8,0.0734,-5.691,1,0.151,179.847,0.402,https://api.spotify.com/v1/tracks/0DC7Zs2qvAbNK1owWQ4mlL
