,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,0.0236,0.92,293827,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,0.847,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5
Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,269667,0.609,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,0.928,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS
Africa,1aTAR21kFePsDBHnc74Hli,0.194,0.687,296173,0.592,0.000485,9,0.0502,-9.112,1,0.0295,92.782,0.712,https://api.spotify.com/v1/tracks/1aTAR21kFePsDBHnc74Hli
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,5cP52DlDN9yryuZVQDg3iq,0.0291,0.704,285373,0.834,0.00492,10,0.147,-7.131,0,0.0358,103.555,0.923,https://api.spotify.com/v1/tracks/5cP52DlDN9yryuZVQDg3iq
You Give Love A Bad Name,61lqNlVRnWYiR9C7BDJw2l,0.0528,0.53,223147,0.964,4.84e-06,0,0.372,-2.571,0,0.0553,122.807,0.823,https://api.spotify.com/v1/tracks/61lqNlVRnWYiR9C7BDJw2l
The Best - Edit,2W2ieVidLIx9TDvxu0ZT6F,0.0149,0.681,250133,0.83,0.00376,0,0.214,-6.088,1,0.0271,103.777,0.817,https://api.spotify.com/v1/tracks/2W2ieVidLIx9TDvxu0ZT6F
Escape (The Pina Colada Song),79Dl8iYn0PFQG2wqDxPlQU,0.357,0.818,276413,0.692,9.42e-06,0,0.127,-8.79,1,0.0529,139.695,0.934,https://api.spotify.com/v1/tracks/79Dl8iYn0PFQG2wqDxPlQU
Rehab,4osg3vT6sXv6wNxm9Z6ucQ,0.0473,0.434,213760,0.872,1.83e-06,0,0.396,-2.974,1,0.0702,71.515,0.732,https://api.spotify.com/v1/tracks/4osg3vT6sXv6wNxm9Z6ucQ
Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.0162,0.782,193400,0.6,1.81e-06,7,0.108,-6.532,1,0.0416,120.05,0.612,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,0.856,0.607,233720,0.376,0.0,4,0.285,-9.954,1,0.453,102.541,0.545,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0
Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48,0.631,0.443,243027,0.403,0.0,0,0.111,-8.339,1,0.0322,143.462,0.41,https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48
