,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
822,F**k It (I Don't Want You Back - F**ked Dub,0.0036,0.736,365110,0.9009999999999999,07OZcJGDIIK1uEzhsYE9Pq,0.000127,10,0.0234,-3.88,0,0.0434,126.97200000000001,4,https://api.spotify.com/v1/tracks/07OZcJGDIIK1uEzhsYE9Pq,0.62
823,Through The Wire,0.00865,0.5710000000000001,221226,0.7390000000000001,4mmkhcEm1Ljy1U9nwtsxUo,5.21e-06,7,0.158,-6.11,1,0.247,83.089,4,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,0.66
824,Suga Suga,0.657,0.701,239026,0.75,6Nq5lE0CeOAAAqN4qhkbZU,3.13e-06,5,0.0845,-3.1910000000000003,0,0.27399999999999997,82.531,4,https://api.spotify.com/v1/tracks/6Nq5lE0CeOAAAqN4qhkbZU,0.515
825,Read Your Mind,0.27699999999999997,0.75,263506,0.391,6cR1U61DMpYbS2TtNTlSvo,5.99e-06,8,0.0759,-7.087000000000001,0,0.0831,146.191,4,https://api.spotify.com/v1/tracks/6cR1U61DMpYbS2TtNTlSvo,0.711
826,You Don't Know My Name,0.589,0.263,366733,0.6629999999999999,6LGwYMXXgURfaequXipzHx,0.00451,9,0.342,-8.264,1,0.19,167.271,4,https://api.spotify.com/v1/tracks/6LGwYMXXgURfaequXipzHx,0.25
827,Why Don't You & I (feat. Chad Kroeger),0.136,0.495,274360,0.894,43LdgobPlcCc5g9Kmactvy,0.0,10,0.106,-4.89,1,0.102,168.062,4,https://api.spotify.com/v1/tracks/43LdgobPlcCc5g9Kmactvy,0.777
828,Bring Me To Life,0.00895,0.316,235893,0.945,0COqiPhxzoWICwFCS4eZcp,1.85e-06,4,0.396,-3.1689999999999996,0,0.124,189.93099999999998,4,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,0.32
829,Stand Up,0.358,0.745,213760,0.841,2CtCwQhY0ZLvr8L2l8Bo6e,0.0,6,0.111,-4.774,1,0.35700000000000004,97.90899999999999,4,https://api.spotify.com/v1/tracks/2CtCwQhY0ZLvr8L2l8Bo6e,0.767
830,Get Low,0.0301,0.521,334066,0.625,0r2Bul2NuCViraT2zX1l5j,0.0,1,0.121,-7.47,1,0.067,101.01899999999999,4,https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j,0.136
831,Walked Outta Heaven,0.573,0.67,270880,0.616,06ZDLodo1UDVavc3MXREZ3,0.0,10,0.0535,-6.122999999999999,1,0.225,120.12899999999999,4,https://api.spotify.com/v1/tracks/06ZDLodo1UDVavc3MXREZ3,0.523
832,Milkshake - Radio Mix,0.008620000000000001,0.8909999999999999,182626,0.77,2s0ouHqJebHfiQ6C1GUFJd,0.0315,1,0.155,-6.124,1,0.0439,112.99700000000001,4,https://api.spotify.com/v1/tracks/2s0ouHqJebHfiQ6C1GUFJd,0.8190000000000001
833,Step In the Name of Love - Remix,0.2,0.775,432146,0.53,7lrAsaTw9CTh5uSr0fvHOd,0.0,1,0.231,-6.564,0,0.11900000000000001,94.985,4,https://api.spotify.com/v1/tracks/7lrAsaTw9CTh5uSr0fvHOd,0.775
834,Wat Da Hook Gon Be - Dirty,0.102,0.929,224666,0.595,6njG8EYG1lrROn8P6q46eq,0.0,10,0.149,-7.035,0,0.315,94.99700000000001,4,https://api.spotify.com/v1/tracks/6njG8EYG1lrROn8P6q46eq,0.897
835,Headstrong,0.000172,0.49200000000000005,285569,0.8959999999999999,1AEYT6VxrxXPMoQUxsY0E4,2.78e-06,4,0.18899999999999997,-5.819,0,0.11699999999999999,184.981,4,https://api.spotify.com/v1/tracks/1AEYT6VxrxXPMoQUxsY0E4,0.534
836,Holidae In,0.0893,0.81,314400,0.7909999999999999,0FmCLEHfINGqwlyzvklNqy,0.0,7,0.0838,-5.909,1,0.18100000000000002,153.067,4,https://api.spotify.com/v1/tracks/0FmCLEHfINGqwlyzvklNqy,0.948
837,So Far Away,0.012,0.40700000000000003,243573,0.8959999999999999,6FOpPA0a80RuBqqgDozvja,0.0,6,0.196,-2.935,1,0.063,138.697,3,https://api.spotify.com/v1/tracks/6FOpPA0a80RuBqqgDozvja,0.156
838,Harder To Breathe,0.0563,0.6659999999999999,173693,0.892,4V9JDRqKjN8F2HWdlEDxvI,0.0,1,0.0493,-4.793,0,0.0482,149.90200000000002,4,https://api.spotify.com/v1/tracks/4V9JDRqKjN8F2HWdlEDxvI,0.9670000000000001
839,Shake Ya Tailfeather - Radio,0.152,0.721,295173,0.726,4TJduXYW1Pg96EDNnfiwxJ,0.0,10,0.163,-7.062,0,0.272,87.655,4,https://api.spotify.com/v1/tracks/4TJduXYW1Pg96EDNnfiwxJ,0.885
840,Right Thurr,0.15,0.866,250746,0.7490000000000001,0l3GEbH3CviUytD6iX4wzg,0.0,2,0.0591,-3.977,1,0.253,92.07700000000001,4,https://api.spotify.com/v1/tracks/0l3GEbH3CviUytD6iX4wzg,0.8909999999999999
841,Into You,0.0162,0.623,244453,0.7340000000000001,2meEiZKWkiN28gITzFwQo5,1.9e-06,9,0.145,-5.95,1,0.107,107.853,4,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,0.37200000000000005
842,Where Is The Love?,0.10400000000000001,0.835,272533,0.706,3CNqo3gYrfexdrtjFmC9he,0.0,5,0.13699999999999998,-3.219,1,0.193,94.086,4,https://api.spotify.com/v1/tracks/3CNqo3gYrfexdrtjFmC9he,0.843
843,Crazy In Love,0.00249,0.6459999999999999,236133,0.77,5IVuqXILoxVWvWEPm82Jxr,0.0,2,0.0715,-6.596,0,0.226,99.165,4,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,0.6809999999999999
844,Drift Away,0.18100000000000002,0.583,255560,0.66,0RFgvrhkf9FiDRLA0BhzpZ,0.0,11,0.0979,-5.078,1,0.0377,151.95600000000002,4,https://api.spotify.com/v1/tracks/0RFgvrhkf9FiDRLA0BhzpZ,0.861
845,Frontin' (feat. Jay-Z) - Club Mix,0.45299999999999996,0.894,236506,0.40399999999999997,0iFOG4Ki9aDmJUYUFHQlPG,1.57e-06,9,0.0801,-5.912999999999999,0,0.13,102.009,4,https://api.spotify.com/v1/tracks/0iFOG4Ki9aDmJUYUFHQlPG,0.759
846,P.I.M.P.,0.0485,0.6729999999999999,249466,0.785,2D1hlMwWWXpkc3CZJ5U351,3.65e-06,10,0.0397,-2.8939999999999997,0,0.35100000000000003,84.60700000000001,4,https://api.spotify.com/v1/tracks/2D1hlMwWWXpkc3CZJ5U351,0.85
847,The Remedy (I Won't Worry),0.04,0.589,256440,0.867,4tK4ARuilOrBzwVQK73E0Y,0.0,10,0.306,-4.523,1,0.0385,94.51899999999999,4,https://api.spotify.com/v1/tracks/4tK4ARuilOrBzwVQK73E0Y,0.795
